Ball,Over,BallInOver,Bowler,Striker,NonStriker,Outcome,Runs,TotalRuns,Wickets
1,1,1,"Jasprit Bumrah","Rohit Sharma","Virat Kohli",2,2,2,0
2,1,2,"Jasprit Bumrah","Rohit Sharma","Virat Kohli",6,6,8,0
3,1,3,"Jasprit Bumrah","Rohit Sharma","Rohit Sharma",1,1,9,0
4,1,4,"Jasprit Bumrah","Virat Kohli","Rohit Sharma",DOT,0,9,0
5,1,5,"Jasprit Bumrah","Virat Kohli","Virat Kohli",1,1,10,0
6,2,0,"Mohammed Siraj","Rohit Sharma","Rohit Sharma",DOT,0,10,0
7,2,1,"Mohammed Siraj","Virat Kohli","Virat Kohli",1,1,11,0
8,2,2,"Mohammed Siraj","Rohit Sharma","Virat Kohli",4,4,15,0
9,2,3,"Mohammed Siraj","Rohit Sharma","Virat Kohli",4,4,19,0
10,2,4,"Mohammed Siraj","Rohit Sharma","Virat Kohli",4,4,23,0
10,2,4,"Mohammed Siraj","Rohit Sharma","Rohit Sharma",WD,1,24,0
11,2,5,"Mohammed Siraj","Virat Kohli","Virat Kohli",1,1,25,0
12,3,0,"Hardik Pandya","Rohit Sharma","Rohit Sharma",4,4,29,0
13,3,1,"Hardik Pandya","Virat Kohli","Rohit Sharma",2,2,31,0
14,3,2,"Hardik Pandya","Virat Kohli","Rohit Sharma",DOT,0,31,0
15,3,3,"Hardik Pandya","Virat Kohli","Rohit Sharma",W,0,31,1
16,3,4,"Hardik Pandya","Arshdeep Singh","Arshdeep Singh",1,1,32,1
16,3,4,"Hardik Pandya","Rohit Sharma","Rohit Sharma",WD,1,33,1
17,3,5,"Hardik Pandya","Arshdeep Singh","Rohit Sharma",DOT,0,33,1
18,4,0,"Axar Patel","Arshdeep Singh","Arshdeep Singh",4,4,37,1
19,4,1,"Axar Patel","Rohit Sharma","Arshdeep Singh",2,2,39,1
20,4,2,"Axar Patel","Rohit Sharma","Arshdeep Singh",2,2,41,1
21,4,3,"Axar Patel","Rohit Sharma","Rohit Sharma",3,3,44,1
22,4,4,"Axar Patel","Arshdeep Singh","Rohit Sharma",2,2,46,1
22,4,4,"Axar Patel","Arshdeep Singh","Arshdeep Singh",WD,1,47,1
23,4,5,"Axar Patel","Rohit Sharma","Arshdeep Singh",4,4,51,1
24,5,0,"Kuldeep Yadav","Rohit Sharma","Rohit Sharma",6,6,57,1
25,5,1,"Kuldeep Yadav","Arshdeep Singh","Rohit Sharma",6,6,63,1
26,5,2,"Kuldeep Yadav","Arshdeep Singh","Arshdeep Singh",1,1,64,1
27,5,3,"Kuldeep Yadav","Rohit Sharma","Arshdeep Singh",6,6,70,1
28,5,4,"Kuldeep Yadav","Rohit Sharma","Arshdeep Singh",6,6,76,1
29,5,5,"Kuldeep Yadav","Rohit Sharma","Rohit Sharma",1,1,77,1
30,6,0,"Arshdeep Singh","Arshdeep Singh","Arshdeep Singh",DOT,0,77,1
31,6,1,"Arshdeep Singh","Rohit Sharma","Arshdeep Singh",DOT,0,77,1
32,6,2,"Arshdeep Singh","Rohit Sharma","Arshdeep Singh",DOT,0,77,1
33,6,3,"Arshdeep Singh","Rohit Sharma","Arshdeep Singh",2,2,79,1
